ticket_id,customer_id,created_datetime,assigned_datetime,resolved_datetime,region,team,agent_id,shift,priority,issue_type,channel,sla_hours,first_response_hours,resolution_hours,sla_breach (Yes/No),breach_hours,escalated,reopened,status,backlog_flag,root_cause,bottleneck_stage,customer_satisfaction_score
T0017,C1321,07-03-2025 14:43,07-03-2025 19:49,10-03-2025 04:14,North,Escalations,A118,Afternoon,Low,Payment Failure,Chat,48,5.1,61.52,Yes,13.52,Yes,No,Resolved,No,Delayed Assignment,Assignment,2
T0018,C1682,29-04-2025 16:43,29-04-2025 18:59,01-05-2025 12:53,North,Billing Ops,A128,Afternoon,Medium,Subscription Change,Phone,24,2.28,44.18,Yes,20.18,Yes,No,Resolved,No,High Complexity,Diagnosis,2
T0019,C1290,08-02-2025 14:35,08-02-2025 16:33,10-02-2025 06:20,East,Escalations,A112,Afternoon,Medium,Account Update,Phone,24,1.97,39.75,Yes,15.75,Yes,No,Resolved,No,Technical Dependency,Escalation,3
T0020,C1249,19-01-2025 08:02,19-01-2025 09:33,20-01-2025 04:45,East,L1 Support,A115,Morning,Medium,Data Correction,Email,24,1.53,20.73,No,0,No,No,Resolved,No,No Major Delay,None,5
T0021,C1162,16-01-2025 15:08,16-01-2025 17:12,17-01-2025 15:12,North,Technical Ops,A116,Afternoon,High,Data Correction,Chat,8,2.07,24.08,Yes,16.08,No,No,Resolved,No,Technical Dependency,Escalation,3
T0022,C1065,31-01-2025 12:28,31-01-2025 13:28,01-02-2025 00:41,East,L1 Support,A134,Morning,Medium,Technical Bug,Chat,24,1,12.23,No,0,Yes,No,Resolved,No,No Major Delay,None,5
T0023,C1819,08-04-2025 17:24,08-04-2025 20:14,09-04-2025 03:22,West,Billing Ops,A102,Afternoon,Medium,Refund Request,Phone,24,2.84,9.98,No,0,No,No,Resolved,No,No Major Delay,None,5
T0024,C1472,18-04-2025 15:58,18-04-2025 17:54,18-04-2025 20:22,South,Billing Ops,A126,Afternoon,Medium,Payment Failure,Email,24,1.94,4.4,No,0,No,Yes,Resolved,No,No Major Delay,None,4
T0025,C1484,11-01-2025 15:01,11-01-2025 15:22,12-01-2025 10:32,East,Billing Ops,A127,Afternoon,High,Refund Request,Email,8,0.35,19.52,Yes,11.52,Yes,Yes,Resolved,No,Agent Capacity Constraint,Resolution,3
T0026,C1248,21-01-2025 12:06,21-01-2025 14:54,22-01-2025 12:04,South,Technical Ops,A108,Morning,Medium,Technical Bug,Phone,24,2.8,23.97,No,0,No,No,Closed,No,No Major Delay,None,5
T0027,C1988,26-03-2025 13:04,26-03-2025 16:25,27-03-2025 08:38,Central,Escalations,A123,Morning,High,Order Delay,Chat,8,3.35,19.58,Yes,11.58,Yes,No,Resolved,No,High Complexity,Diagnosis,4
T0028,C1264,12-01-2025 12:56,12-01-2025 15:14,13-01-2025 10:23,Central,Technical Ops,A116,Morning,Medium,Technical Bug,Chat,24,2.3,21.45,No,0,No,No,Resolved,No,No Major Delay,None,5
T0029,C1543,08-04-2025 11:44,08-04-2025 13:55,08-04-2025 23:27,East,Billing Ops,A127,Morning,High,Subscription Change,Phone,8,2.19,11.72,Yes,3.72,No,No,Resolved,No,Incomplete Customer Information,Customer Response,4
T0030,C1852,25-01-2025 13:07,25-01-2025 15:58,,Central,Billing Ops,A115,Morning,High,Subscription Change,Email,8,2.86,,,,Yes,No,Pending,Yes,High Complexity,Diagnosis,
T0031,C1410,31-03-2025 10:40,31-03-2025 12:14,01-04-2025 00:02,South,Billing Ops,A104,Morning,High,Payment Failure,Email,8,1.57,13.37,Yes,5.37,Yes,No,Closed,No,Delayed Assignment,Assignment,4
T0032,C1781,08-04-2025 14:38,08-04-2025 16:33,10-04-2025 18:12,North,Technical Ops,A116,Afternoon,Medium,Technical Bug,Email,24,1.93,51.58,Yes,27.58,No,No,Resolved,No,Delayed Assignment,Assignment,3
T0033,C1603,18-03-2025 15:18,18-03-2025 16:18,18-03-2025 19:33,North,Billing Ops,A127,Afternoon,High,Payment Failure,Email,8,1.01,4.25,No,0,Yes,No,Closed,No,No Major Delay,None,5
T0034,C1040,22-01-2025 12:38,22-01-2025 15:30,23-01-2025 06:17,West,Escalations,A110,Morning,Medium,Subscription Change,Email,24,2.87,17.65,No,0,Yes,No,Resolved,No,No Major Delay,None,5
T0035,C1356,28-03-2025 12:36,28-03-2025 17:18,30-03-2025 07:25,Central,Escalations,A102,Morning,Low,Order Delay,Email,48,4.7,42.83,No,0,Yes,No,Resolved,No,No Major Delay,None,4
T0036,C1473,12-03-2025 08:29,12-03-2025 09:23,12-03-2025 13:23,North,Billing Ops,A126,Morning,Medium,Refund Request,Chat,24,0.91,4.9,No,0,No,No,Closed,No,Delayed Assignment,Assignment,5
T0037,C1120,17-01-2025 12:28,17-01-2025 14:01,18-01-2025 16:11,East,Account Ops,A114,Morning,Medium,Payment Failure,Chat,24,1.56,27.73,Yes,3.73,Yes,Yes,Resolved,No,Technical Dependency,Escalation,3
T0038,C1857,19-01-2025 14:12,19-01-2025 18:04,21-01-2025 07:15,East,Escalations,A116,Afternoon,Medium,Payment Failure,Phone,24,3.88,41.06,Yes,17.06,Yes,No,Resolved,No,Technical Dependency,Escalation,3
T0039,C1811,30-04-2025 13:55,30-04-2025 16:04,,West,Billing Ops,A135,Morning,Medium,Subscription Change,Chat,24,2.15,,,,Yes,No,Pending,Yes,High Complexity,Diagnosis,
T0040,C1872,26-02-2025 09:33,26-02-2025 09:51,28-02-2025 13:22,West,Billing Ops,A107,Morning,Low,Subscription Change,Portal,48,0.3,51.83,Yes,3.83,Yes,No,Resolved,No,Agent Capacity Constraint,Resolution,2
T0041,C1441,31-01-2025 12:14,31-01-2025 14:20,01-02-2025 08:46,Central,Escalations,A103,Morning,High,Data Correction,Phone,8,2.11,20.54,Yes,12.54,Yes,No,Resolved,No,Delayed Assignment,Assignment,3
T0042,C1452,31-01-2025 15:58,31-01-2025 16:49,01-02-2025 03:17,Central,Technical Ops,A125,Afternoon,High,Technical Bug,Chat,8,0.85,11.33,Yes,3.33,No,No,Resolved,No,Agent Capacity Constraint,Resolution,3
T0043,C1702,19-02-2025 15:06,19-02-2025 17:21,20-02-2025 22:14,East,Billing Ops,A120,Afternoon,Low,Subscription Change,Chat,48,2.25,31.14,No,0,No,No,Resolved,No,No Major Delay,None,5
T0044,C1040,15-02-2025 11:40,15-02-2025 12:47,16-02-2025 18:17,Central,Account Ops,A115,Morning,Low,Subscription Change,Chat,48,1.13,30.63,No,0,No,No,Resolved,No,Incomplete Customer Information,Customer Response,5
T0045,C1077,17-01-2025 16:56,17-01-2025 18:37,18-01-2025 17:00,Central,Technical Ops,A127,Afternoon,High,Technical Bug,Phone,8,1.69,24.07,Yes,16.07,No,No,Resolved,No,Agent Capacity Constraint,Resolution,4
T0046,C1574,10-03-2025 09:29,10-03-2025 11:47,10-03-2025 17:50,West,Billing Ops,A126,Morning,High,Subscription Change,Portal,8,2.3,8.36,Yes,0.36,No,No,Closed,No,Technical Dependency,Escalation,3
T0047,C1424,05-01-2025 12:31,05-01-2025 13:22,06-01-2025 01:42,North,L1 Support,A108,Morning,High,Technical Bug,Chat,8,0.86,13.19,Yes,5.19,No,No,Resolved,No,Incomplete Customer Information,Customer Response,3
T0048,C1341,31-01-2025 13:06,31-01-2025 16:37,02-02-2025 04:12,Central,Escalations,A114,Morning,Medium,Order Delay,Phone,24,3.53,39.11,Yes,15.11,Yes,No,Resolved,No,Delayed Assignment,Assignment,4
T0049,C1676,30-01-2025 13:49,30-01-2025 16:32,30-01-2025 18:32,Central,Billing Ops,A114,Morning,High,Payment Failure,Email,8,2.72,4.73,No,0,Yes,No,Resolved,No,No Major Delay,None,5
T0050,C1930,05-04-2025 14:33,05-04-2025 15:01,06-04-2025 12:09,East,Billing Ops,A117,Afternoon,Low,Payment Failure,Chat,48,0.47,21.6,No,0,No,No,Resolved,No,No Major Delay,None,5
T0051,C1517,04-03-2025 15:04,04-03-2025 16:26,06-03-2025 05:40,West,L1 Support,A128,Afternoon,Low,Technical Bug,Chat,48,1.38,38.61,No,0,No,No,Resolved,No,No Major Delay,None,5
T0052,C1851,24-04-2025 11:26,24-04-2025 12:54,25-04-2025 17:54,North,L1 Support,A114,Morning,Medium,Login/Access,Chat,24,1.47,30.47,Yes,6.47,No,No,Resolved,No,Delayed Assignment,Assignment,4
T0053,C1158,22-02-2025 13:55,22-02-2025 15:25,22-02-2025 18:27,East,Account Ops,A122,Morning,Critical,Account Update,Chat,4,1.5,4.54,Yes,0.54,No,No,Resolved,No,Agent Capacity Constraint,Resolution,3
T0054,C1943,19-04-2025 16:49,19-04-2025 18:44,20-04-2025 17:46,North,Account Ops,A115,Afternoon,Medium,Payment Failure,Phone,24,1.92,24.95,Yes,0.95,No,No,Closed,No,Delayed Assignment,Assignment,3
T0055,C1050,09-03-2025 11:24,09-03-2025 12:33,09-03-2025 20:47,South,L1 Support,A102,Morning,High,Login/Access,Phone,8,1.15,9.39,Yes,1.39,No,Yes,Closed,No,Delayed Assignment,Assignment,3
T0056,C1122,25-02-2025 09:18,25-02-2025 11:09,27-02-2025 09:59,West,Billing Ops,A133,Morning,Medium,Refund Request,Phone,24,1.86,48.69,Yes,24.69,Yes,No,Resolved,No,Incorrect Routing,Routing,3
T0057,C1941,21-04-2025 08:27,21-04-2025 11:42,22-04-2025 07:43,South,Escalations,A123,Morning,Critical,Order Delay,Email,4,3.25,23.27,Yes,19.27,Yes,No,Closed,No,High Complexity,Diagnosis,2
T0058,C1241,09-02-2025 13:14,09-02-2025 13:54,10-02-2025 22:31,North,Account Ops,A106,Morning,Medium,Account Update,Email,24,0.67,33.29,Yes,9.29,No,No,Closed,No,High Complexity,Diagnosis,3
T0059,C1480,14-03-2025 17:28,14-03-2025 20:08,15-03-2025 00:58,South,Billing Ops,A132,Afternoon,High,Refund Request,Chat,8,2.67,7.5,No,0,No,No,Resolved,No,No Major Delay,None,5
T0060,C1930,17-02-2025 12:04,17-02-2025 15:00,17-02-2025 22:31,East,Billing Ops,A129,Morning,Medium,Refund Request,Phone,24,2.94,10.46,No,0,No,No,Resolved,No,No Major Delay,None,5
T0061,C1346,11-01-2025 16:41,11-01-2025 17:48,12-01-2025 17:15,East,Technical Ops,A122,Afternoon,Low,Data Correction,Chat,48,1.12,24.57,No,0,Yes,No,Resolved,No,No Major Delay,None,5
T0062,C1832,16-03-2025 10:58,16-03-2025 13:52,17-03-2025 06:50,East,Technical Ops,A110,Morning,Medium,Login/Access,Email,24,2.91,19.88,No,0,No,No,Closed,No,No Major Delay,None,5
T0063,C1632,28-01-2025 13:49,28-01-2025 14:38,29-01-2025 10:27,Central,L1 Support,A124,Morning,High,Order Delay,Email,8,0.83,20.64,Yes,12.64,No,No,Closed,No,Delayed Assignment,Assignment,4
T0064,C1198,06-01-2025 14:23,06-01-2025 15:15,07-01-2025 04:23,South,Account Ops,A111,Afternoon,High,Account Update,Email,8,0.87,14.01,Yes,6.01,No,No,Closed,No,Agent Capacity Constraint,Resolution,4
T0065,C1127,15-04-2025 11:51,15-04-2025 14:29,15-04-2025 17:23,West,Billing Ops,A127,Morning,Medium,Subscription Change,Phone,24,2.64,5.54,No,0,No,No,Resolved,No,No Major Delay,None,5
T0066,C1810,24-04-2025 13:59,24-04-2025 14:20,24-04-2025 22:26,East,L1 Support,A115,Morning,High,Order Delay,Phone,8,0.35,8.45,Yes,0.45,No,Yes,Resolved,No,Incorrect Routing,Routing,2
T0067,C1856,03-01-2025 12:13,03-01-2025 13:57,04-01-2025 06:23,West,Technical Ops,A101,Morning,High,Login/Access,Chat,8,1.74,18.18,Yes,10.18,Yes,Yes,Resolved,No,Technical Dependency,Escalation,1
T0068,C1894,31-01-2025 17:26,31-01-2025 20:01,01-02-2025 21:57,North,Technical Ops,A101,Afternoon,Low,Technical Bug,Chat,48,2.59,28.53,No,0,No,No,Resolved,No,No Major Delay,None,5
T0069,C1064,05-04-2025 13:08,05-04-2025 14:51,06-04-2025 10:15,East,Technical Ops,A107,Morning,Medium,Data Correction,Email,24,1.73,21.12,No,0,No,No,Closed,No,No Major Delay,None,5
T0070,C1376,07-03-2025 14:52,07-03-2025 17:47,08-03-2025 03:13,North,Escalations,A121,Afternoon,Medium,Subscription Change,Email,24,2.92,12.35,No,0,Yes,No,Resolved,No,No Major Delay,None,5
T0071,C1313,17-02-2025 16:17,17-02-2025 18:31,18-02-2025 16:09,West,Billing Ops,A132,Afternoon,Medium,Account Update,Chat,24,2.24,23.87,No,0,No,No,Resolved,No,Incomplete Customer Information,Customer Response,5
T0072,C1241,25-02-2025 12:40,25-02-2025 16:10,27-02-2025 10:26,South,Escalations,A123,Morning,Medium,Order Delay,Chat,24,3.5,45.78,Yes,21.78,Yes,No,Resolved,No,Incomplete Customer Information,Customer Response,4
T0073,C1530,17-02-2025 15:48,17-02-2025 16:31,18-02-2025 07:53,West,Billing Ops,A129,Afternoon,Low,Account Update,Portal,48,0.73,16.09,No,0,No,No,Resolved,No,Delayed Assignment,Assignment,5
T0074,C1297,04-03-2025 11:07,04-03-2025 12:22,05-03-2025 19:28,East,Escalations,A119,Morning,Medium,Technical Bug,Chat,24,1.25,32.36,Yes,8.36,Yes,No,Resolved,No,Incomplete Customer Information,Customer Response,3
T0075,C1075,05-03-2025 08:23,05-03-2025 09:55,08-03-2025 13:41,South,Account Ops,A109,Morning,Low,Order Delay,Chat,48,1.54,77.31,Yes,29.31,No,No,Closed,No,Technical Dependency,Escalation,4
T0076,C1256,17-01-2025 14:32,17-01-2025 14:53,18-01-2025 03:09,North,Billing Ops,A112,Afternoon,High,Refund Request,Phone,8,0.36,12.62,Yes,4.62,No,No,Closed,No,Incorrect Routing,Routing,4
T0077,C1656,16-03-2025 10:10,16-03-2025 12:23,16-03-2025 17:02,East,Billing Ops,A111,Morning,High,Subscription Change,Email,8,2.22,6.88,No,0,No,No,Resolved,No,Delayed Assignment,Assignment,5
T0078,C1735,08-02-2025 15:15,08-02-2025 17:54,10-02-2025 05:19,South,Billing Ops,A135,Afternoon,Low,Refund Request,Chat,48,2.65,38.08,No,0,No,No,Resolved,No,No Major Delay,None,5
T0079,C1738,01-03-2025 09:17,01-03-2025 09:52,01-03-2025 17:49,East,Billing Ops,A107,Morning,High,Subscription Change,Portal,8,0.59,8.54,Yes,0.54,No,No,Closed,No,Approval Dependency,Approval,4
T0080,C1374,06-03-2025 15:15,06-03-2025 17:02,07-03-2025 19:42,West,Escalations,A106,Afternoon,High,Order Delay,Portal,8,1.79,28.45,Yes,20.45,Yes,No,Closed,No,Technical Dependency,Escalation,3
T0081,C1512,05-02-2025 17:43,05-02-2025 18:04,06-02-2025 01:44,Central,Technical Ops,A129,Afternoon,Critical,Login/Access,Email,4,0.36,8.02,Yes,4.02,No,No,Resolved,No,Delayed Assignment,Assignment,3
T0082,C1689,30-04-2025 17:20,30-04-2025 19:15,01-05-2025 05:33,East,L1 Support,A133,Afternoon,Critical,Login/Access,Chat,4,1.93,12.23,Yes,8.23,No,No,Resolved,No,Agent Capacity Constraint,Resolution,4
T0083,C1970,25-03-2025 17:36,25-03-2025 17:56,26-03-2025 01:40,East,L1 Support,A131,Afternoon,High,Account Update,Chat,8,0.34,8.08,Yes,0.08,No,No,Resolved,No,High Complexity,Diagnosis,4
T0084,C1350,05-04-2025 08:45,05-04-2025 09:31,05-04-2025 17:07,West,Billing Ops,A131,Morning,Medium,Payment Failure,Email,24,0.78,8.37,No,0,No,No,Closed,No,No Major Delay,None,5
T0085,C1404,08-02-2025 12:45,08-02-2025 14:55,09-02-2025 08:49,East,Technical Ops,A120,Morning,Medium,Data Correction,Chat,24,2.17,20.08,No,0,No,No,Resolved,No,No Major Delay,None,5
T0086,C1685,06-04-2025 15:13,06-04-2025 17:21,08-04-2025 05:19,South,Billing Ops,A129,Afternoon,Low,Subscription Change,Email,48,2.14,38.1,No,0,Yes,No,Resolved,No,No Major Delay,None,5
T0087,C1667,12-03-2025 10:26,12-03-2025 13:45,13-03-2025 13:20,South,Billing Ops,A109,Morning,Low,Payment Failure,Email,48,3.33,26.9,No,0,No,No,Closed,No,Agent Capacity Constraint,Resolution,5
T0088,C1137,20-02-2025 15:11,20-02-2025 20:26,22-02-2025 08:26,North,Escalations,A103,Afternoon,Medium,Technical Bug,Portal,24,5.25,41.25,Yes,17.25,Yes,No,Closed,No,Incorrect Routing,Routing,1
T0089,C1488,13-02-2025 12:36,13-02-2025 13:31,,South,L1 Support,A112,Morning,Low,Technical Bug,Chat,48,0.93,,,,No,No,Pending,Yes,Incomplete Customer Information,Customer Response,
T0090,C1963,15-03-2025 08:16,15-03-2025 11:01,16-03-2025 00:36,East,Escalations,A120,Morning,High,Refund Request,Phone,8,2.76,16.34,Yes,8.34,Yes,No,Resolved,No,High Complexity,Diagnosis,4
T0091,C1939,12-03-2025 15:48,12-03-2025 17:51,13-03-2025 00:48,South,L1 Support,A124,Afternoon,High,Technical Bug,Portal,8,2.06,9,Yes,1,No,Yes,Resolved,No,Technical Dependency,Escalation,2
T0092,C1059,26-02-2025 09:43,26-02-2025 11:32,26-02-2025 15:06,Central,Technical Ops,A121,Morning,Medium,Login/Access,Portal,24,1.83,5.39,No,0,No,No,Resolved,No,No Major Delay,None,5
T0093,C1912,14-02-2025 09:34,14-02-2025 12:23,15-02-2025 19:55,East,L1 Support,A105,Morning,Medium,Data Correction,Chat,24,2.82,34.35,Yes,10.35,No,No,Resolved,No,Incomplete Customer Information,Customer Response,4
T0094,C1354,10-03-2025 14:33,10-03-2025 17:29,11-03-2025 23:47,West,L1 Support,A123,Afternoon,Medium,Order Delay,Phone,24,2.94,33.24,Yes,9.24,No,No,Resolved,No,Agent Capacity Constraint,Resolution,4
T0095,C1296,09-01-2025 09:38,09-01-2025 11:30,09-01-2025 17:50,North,Account Ops,A102,Morning,High,Payment Failure,Email,8,1.87,8.21,Yes,0.21,No,No,Resolved,No,Agent Capacity Constraint,Resolution,4
T0096,C1995,08-03-2025 11:26,08-03-2025 11:48,08-03-2025 17:58,Central,Billing Ops,A110,Morning,High,Subscription Change,Email,8,0.37,6.54,No,0,No,No,Resolved,No,No Major Delay,None,5
T0097,C1261,07-04-2025 16:30,07-04-2025 17:19,08-04-2025 02:15,West,Technical Ops,A120,Afternoon,High,Data Correction,Chat,8,0.83,9.76,Yes,1.76,Yes,No,Resolved,No,Technical Dependency,Escalation,3
T0098,C1985,19-03-2025 08:55,19-03-2025 11:22,20-03-2025 04:11,West,Technical Ops,A125,Morning,High,Data Correction,Chat,8,2.45,19.28,Yes,11.28,No,No,Closed,No,Approval Dependency,Approval,4
T0099,C1327,10-04-2025 12:24,10-04-2025 14:25,11-04-2025 02:36,West,L1 Support,A116,Morning,Medium,Order Delay,Portal,24,2.02,14.2,No,0,No,No,Closed,No,No Major Delay,None,5
T0100,C1781,30-04-2025 17:37,30-04-2025 18:53,01-05-2025 06:11,West,Billing Ops,A102,Afternoon,Low,Account Update,Email,48,1.28,12.57,No,0,No,No,Resolved,No,No Major Delay,None,5
T0101,C1154,28-04-2025 16:41,28-04-2025 18:45,01-05-2025 00:38,West,Billing Ops,A135,Afternoon,Low,Subscription Change,Phone,48,2.08,55.96,Yes,7.96,Yes,Yes,Resolved,No,Delayed Assignment,Assignment,2
T0102,C1634,10-03-2025 16:26,10-03-2025 18:12,11-03-2025 10:38,East,Escalations,A132,Afternoon,Critical,Technical Bug,Email,4,1.78,18.2,Yes,14.2,Yes,No,Resolved,No,Delayed Assignment,Assignment,4
T0103,C1660,29-01-2025 12:43,29-01-2025 15:37,31-01-2025 00:22,East,Escalations,A116,Morning,Medium,Order Delay,Chat,24,2.91,35.65,Yes,11.65,Yes,No,Closed,No,High Complexity,Diagnosis,3
T0104,C1306,29-04-2025 09:43,29-04-2025 13:07,01-05-2025 19:46,North,Technical Ops,A131,Morning,Low,Technical Bug,Chat,48,3.4,58.06,Yes,10.06,No,No,Closed,No,High Complexity,Diagnosis,4
T0105,C1334,30-03-2025 09:32,30-03-2025 10:42,,West,Account Ops,A109,Morning,High,Refund Request,Chat,8,1.17,,,,No,No,Pending,Yes,No Major Delay,None,
T0106,C1455,21-03-2025 12:51,21-03-2025 13:06,21-03-2025 18:19,West,Billing Ops,A125,Morning,Critical,Refund Request,Phone,4,0.26,5.48,Yes,1.48,Yes,No,Closed,No,Agent Capacity Constraint,Resolution,4
T0107,C1248,12-01-2025 13:35,12-01-2025 15:27,13-01-2025 01:57,South,Account Ops,A127,Morning,Medium,Refund Request,Email,24,1.87,12.38,No,0,No,No,Closed,No,No Major Delay,None,5
T0108,C1971,05-02-2025 14:19,05-02-2025 14:44,05-02-2025 23:17,West,Billing Ops,A105,Afternoon,Medium,Payment Failure,Email,24,0.42,8.98,No,0,No,No,Resolved,No,High Complexity,Diagnosis,5
T0109,C1954,19-03-2025 11:30,19-03-2025 14:24,20-03-2025 17:52,West,L1 Support,A109,Morning,Medium,Order Delay,Chat,24,2.9,30.37,Yes,6.37,No,No,Resolved,No,Agent Capacity Constraint,Resolution,4
T0110,C1075,27-01-2025 15:51,27-01-2025 20:07,28-01-2025 22:04,Central,Escalations,A130,Afternoon,Medium,Technical Bug,Email,24,4.28,30.23,Yes,6.23,Yes,No,Closed,No,Incomplete Customer Information,Customer Response,1
T0111,C1409,14-04-2025 16:38,14-04-2025 17:04,15-04-2025 15:33,Central,Technical Ops,A124,Afternoon,Medium,Technical Bug,Phone,24,0.44,22.93,No,0,No,Yes,Resolved,No,No Major Delay,None,4
T0112,C1425,30-03-2025 17:14,30-03-2025 18:51,01-04-2025 00:57,West,Billing Ops,A134,Afternoon,Low,Refund Request,Email,48,1.62,31.73,No,0,No,No,Resolved,No,Delayed Assignment,Assignment,5
T0113,C1565,26-02-2025 15:20,26-02-2025 15:44,01-03-2025 07:17,South,Technical Ops,A123,Afternoon,Low,Login/Access,Email,48,0.41,63.95,Yes,15.95,Yes,No,Resolved,No,Approval Dependency,Approval,3
T0114,C1333,05-04-2025 17:56,05-04-2025 19:47,06-04-2025 16:21,West,Technical Ops,A128,Afternoon,High,Technical Bug,Email,8,1.86,22.43,Yes,14.43,No,Yes,Resolved,No,Delayed Assignment,Assignment,2
T0115,C1244,14-02-2025 13:54,14-02-2025 14:34,14-02-2025 19:32,West,Technical Ops,A126,Morning,High,Login/Access,Phone,8,0.68,5.64,No,0,No,No,Resolved,No,No Major Delay,None,5
T0116,C1834,23-03-2025 16:44,23-03-2025 19:32,24-03-2025 14:41,South,Account Ops,A128,Afternoon,High,Payment Failure,Phone,8,2.81,21.95,Yes,13.95,No,No,Resolved,No,Incorrect Routing,Routing,4
T0117,C1274,12-04-2025 11:18,12-04-2025 12:07,13-04-2025 03:20,West,Technical Ops,A106,Morning,Medium,Technical Bug,Phone,24,0.83,16.04,No,0,No,No,Resolved,No,No Major Delay,None,5
T0118,C1142,17-04-2025 11:19,17-04-2025 12:57,22-04-2025 20:02,East,Escalations,A128,Morning,Low,Order Delay,Phone,48,1.64,128.72,Yes,80.72,Yes,No,Resolved,No,Approval Dependency,Approval,2
T0119,C1129,07-02-2025 12:36,07-02-2025 18:56,09-02-2025 08:12,North,Escalations,A121,Morning,Low,Order Delay,Phone,48,6.34,43.6,No,0,Yes,No,Closed,No,No Major Delay,None,4
T0120,C1335,18-02-2025 15:04,18-02-2025 17:43,,South,Billing Ops,A118,Afternoon,Medium,Payment Failure,Chat,24,2.66,,,,No,No,Pending,Yes,No Major Delay,None,
T0121,C1101,24-02-2025 11:31,24-02-2025 14:02,25-02-2025 04:28,North,Account Ops,A135,Morning,Medium,Order Delay,Chat,24,2.52,16.95,No,0,No,No,Resolved,No,No Major Delay,None,5
T0122,C1716,30-03-2025 10:56,30-03-2025 13:56,31-03-2025 10:22,North,Escalations,A128,Morning,Medium,Order Delay,Email,24,3.01,23.44,No,0,Yes,No,Resolved,No,No Major Delay,None,5
